Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit,PHEMultiArmedBandit,thompson check
277,30.65028517818511,13.41483700003101,24.505643237528517,15.464946512659163,28.609934178471313
278,30.760817498080172,13.427630894871934,24.51760876698172,15.469845559815912,28.612591363264727
279,30.760817498080172,13.435525742556106,24.527231123697394,15.478003294474224,28.66743145098506
280,30.793434596294315,13.44342059024028,24.528234577163758,15.47896160362482,28.668434904451424
281,30.918891932875017,13.495745103210902,24.528234577163758,15.47896160362482,28.66943835791779
282,30.992846395488165,13.503639950895074,24.547480677926238,15.485822413398528,28.670133780094243
283,31.11941749670597,13.511534798579248,24.548438987076835,15.513507525879632,28.704913220423446
284,31.33583727531115,13.518734224086964,24.55550546937329,15.528049773946801,28.705608642599902
285,31.425334719834762,13.63445806586546,24.556463778523884,15.541279300707393,28.706612096066266
286,31.509872810176468,13.680778903731479,24.567731542667516,15.554818095308198,28.759982428547897
287,31.600132436806394,13.744894956582721,24.567731542667516,15.557475280101617,28.76263961334131
288,31.716189245136018,13.745590378759179,24.568689851818114,15.57837511219115,28.83093124295769
289,31.745775362578684,13.746285800935635,24.568689851818114,15.58523592196486,28.857319769791737
290,31.818512903497105,13.746285800935635,24.589125272979153,15.591138422587974,28.878264746197033
291,31.889525695938772,13.794061386571622,24.589125272979153,15.592141876054338,28.927070651393727
292,32.02834343330597,13.802988321110837,24.590083582129747,15.598044376677453,28.948208840756006
293,32.13161756814233,13.809849130884547,24.590083582129747,15.60867018685949,28.949907716398826
294,32.207894447528766,13.815751631507661,24.590083582129747,15.611327371652909,29.060381282405466
295,32.2850531817733,13.821654132130774,24.590083582129747,15.62398832328257,29.06303846719888
296,32.2850531817733,13.828252054930346,24.591041891280344,15.630541101766372,29.071196201857184
297,32.463061018678516,13.861429624526554,24.592000200430938,15.632502864383332,29.072895077500004
298,32.54269514541779,13.86702409385976,24.592958509581536,15.639363674157043,29.074593953142823
299,32.54269514541779,13.872618563192967,24.592958509581536,15.682725196822346,29.082355857615728
300,32.548891117459135,13.873313985369425,24.59365393175799,15.712021120842937,29.09689810568289
301,32.69113720968866,13.880205379587233,24.59434935393445,15.717878477150283,29.184853528701392
302,32.832246200597375,13.88090080176369,24.595307663085045,15.724944959446736,29.187510713494806
303,32.8592527970451,13.93362214216493,24.595307663085045,15.750965169989168,29.18851416696117
304,33.028620607425296,13.939479498472275,24.602111258407362,15.78309355367746,29.18851416696117
305,33.24500477592207,13.954767490303023,24.602111258407362,15.801062167576358,29.189209589137626
