Time(Iteration),EpsilonGreedyMultiArmedBandit,ThompsonSamplingMultiArmedBandit,Upperasdl;kj;ldkjf;lasdfasdfasdfa
287,37.884164048855006,70.03894647675432,91.91607956103647
288,38.02530201074,70.20786431506505,92.20555943411726
289,38.121345304913575,70.31308881534254,92.57875523446631
290,38.276844950991645,70.33985991555457,92.90252692867122
291,38.37588924846294,70.4343105275201,93.17895033716815
292,38.51607748182173,70.45410033250099,93.45788334034786
293,38.56529843254016,70.57298356313632,93.71513003357823
294,38.702509160160936,70.66066165060766,93.92008969026944
295,38.850266774808034,70.77478773136089,94.09772518625034
296,38.99028443862849,70.95373960414052,94.39121056989339
297,39.04290882548899,71.05512683029966,94.75092473593295
298,39.14203071194485,71.05745012130609,95.05933803266956
299,39.21889225457777,71.14026106082517,95.31414743772618
300,39.25129099393436,71.21845969438473,95.59675046736338
301,39.324636417428465,71.31628470487047,95.99507381065771
302,39.44906439896944,71.33825514372265,96.16893905085139
303,39.59163090201564,71.35746807095094,96.39560294805635
304,39.71439032103438,71.38973549349797,96.5815144250345
305,39.79726976697566,71.47723196995678,96.78268053965621
306,39.92752069241566,71.58387267339856,97.1689363015718
307,40.05963445555163,71.68134617848173,97.55530321825574
308,40.212102671472,71.72827004802932,97.86258037190717
309,40.351730120514596,71.83032551657008,98.10215356399043
310,40.38412885987119,71.97750009415672,98.31443942124824
311,40.41652759922779,71.99669932533405,98.53078041843591
312,40.528180819383394,72.10256708545766,98.88876248023448
313,40.560579558739995,72.1048903764641,99.20267681830867
314,40.721744936126726,72.20848554118601,99.38494984286152
315,40.75414367548332,72.22394917110334,99.68894918106595
316,40.78654241483992,72.27968724460503,99.8958138535165
317,40.8797213995056,72.38996994622676,100.21538225366179
318,40.93552555878452,72.50792334786091,100.5220061736506
319,41.06901894899607,72.57050109909197,100.90910912281102
320,41.13221191440702,72.58779470129551,101.14432747295945
321,41.179453658936715,72.71176060709492,101.4502270428543
322,41.29362495453493,72.84315473521318,101.70108117974215
323,41.32602369389152,73.03073948331865,101.96436831978711
324,41.52482699294532,73.08961746761209,102.29528706149175
325,41.61426543749711,73.10439750265188,102.70624861568021
326,41.64666417685371,73.1854090898399,102.97632422689973
327,41.687340308906705,73.27356442823188,103.18258125152173
328,41.86368714089109,73.32181531607472,103.4607677704934
329,41.93598205837716,73.38925379935787,103.67504372845403
330,42.01396344887365,73.46985790077623,104.09709570086004
331,42.04636218823025,73.5085368205649,104.36330088826689
332,42.08049974886397,73.5491705549376,104.6099228312469
333,42.200943891482005,73.56542001495069,104.91076510016296
334,42.26921275399123,73.67326962673488,105.18530493802868
335,42.31522078570756,73.74825427158561,105.39733230895945
336,42.393143899151916,73.76122959976126,105.65349795229929
337,42.50754129566258,73.90456725115224,105.98667633479727
338,42.55735960801457,73.99341003126524,106.22110400726947
339,42.588179100112754,74.02651200640031,106.51739287486348
340,42.61899859221094,74.05371945990926,106.79720508321256
341,42.700587576089745,74.28376339154951,107.04806457120696
342,42.85621873161217,74.33621497649459,107.25621224575173
343,42.97298193705081,74.45408733319537,107.55858551660101
344,43.00380142914899,74.49457548966578,107.81554310602228
345,43.08549058797875,74.62040290266036,108.0028344385742
346,43.1494605383655,74.72078745259296,108.3088785003514
347,43.29266631511029,74.8165730563056,108.59749312049954
348,43.36150421855329,74.85195015261985,108.8046881915129
349,43.44415433091457,75.05878639188236,109.18060281764917
350,43.52625220317784,75.08576868306565,109.41272509733149
351,43.64563492617112,75.11680126180109,109.77237945391525
352,43.678033665527714,75.12059601128476,110.11580702117124
353,43.76892234627959,75.22688671812872,110.46294545917162
354,43.83929857701806,75.29460525402145,110.7823914432654
355,44.02983056164054,75.31819627830693,111.0604934612206
356,44.10982812141369,75.38699513764671,111.26705726650353
357,44.296081214429755,75.50402301617838,111.44657869001142
358,44.33308876865603,75.57904881449419,111.6646978344852
359,44.365487508012635,75.66984207151539,112.02174073230262
360,44.42219168657801,75.68174918490959,112.31065112664267
361,44.49359416157134,75.75557446217204,112.55104701925265
362,44.553376698456994,75.82446879978018,112.76063156133264
363,44.58577543781359,75.85628754335428,113.0747412046939
364,44.656352162533715,75.86469110770763,113.35533439928602
365,44.688750901890316,75.94225675050231,113.70634361160087
366,44.767063403003014,76.07437219834523,113.89609443615572
367,44.799462142359616,76.14422091197119,114.12416844467764
368,44.83186088171621,76.14801566145488,114.35006102978761
369,45.03301320896331,76.15580242605986,114.72069004065301
370,45.07766219865523,76.18853928737215,114.92830690277006
371,45.140036093786925,76.28895312351888,115.14622007326474
372,45.28684831726635,76.30481970980026,115.34685158805398
373,45.31924705662295,76.35421764499105,115.59027115471767
374,45.37842895276343,76.40332855465996,115.9787710880172
375,45.46674606024337,76.46756986936268,116.2661176142307
376,45.551713778747676,76.5949410333657,116.5784602306135
377,45.602053865133215,76.67716523039226,116.78288591143864
378,45.635098960240775,76.74747336230777,116.97498089652875
379,45.76116275171676,76.77268586444343,117.33796606537923
380,45.82332464409559,76.80095075917077,117.54638511634714
381,45.88272086977367,76.84967451221365,117.8181762275188
382,45.97220090989717,76.87210318566632,118.17961370037388
383,46.054858389852896,76.94715789127113,118.47108014115017
384,46.08725712920949,77.03409313797414,118.63976964010028
385,46.233771357898725,77.040141081302,118.89631600544578
386,46.35148159244467,77.15709897437802,119.15174027378791
387,46.397489624161,77.28126748754363,119.42021406683232
388,46.46247917157239,77.3013332499145,119.55073795539309
389,46.54742606274404,77.3558121016782,119.81165786866625
390,46.59736448406556,77.46016073184755,120.09744184846798
391,46.72393530361329,77.46476954671724,120.45615339843434
392,46.83912835923342,77.55254635584696,120.78119075465402
393,46.87152709859002,77.6168717560842,121.02743713146927
394,46.903925837946616,77.71095301817894,121.34553130207549
395,46.93632457730321,77.7613315189308,121.61713290205353
396,47.049579311389515,77.85673658190575,121.8461662614609
397,47.081978050746116,77.88801348104259,122.11801882771003
398,47.169048842809474,77.88801348104259,122.4198093314391
399,47.295251821329614,77.91492720551251,122.70481493476834
400,47.375088742344005,78.06845328090292,122.87269886998516
401,47.4074874817006,78.06903775063222,123.11547427932234
402,47.50298369784547,78.10133868069423,123.30836304211441
403,47.60736716779441,78.13459422859879,123.6216297967768
404,47.652648339437064,78.22462907663376,123.93671360111216
405,47.73811321806887,78.27513113159588,124.20574723121126
406,47.83960534052325,78.34039184383491,124.49165473894314
407,47.86481784265891,78.37618684287216,124.71336544953674
408,47.89003034479457,78.48072510765564,125.00751953787827
409,47.96834284590727,78.52438568681745,125.42645166806058
410,48.10176871668436,78.57856612654129,125.68069811370341
411,48.12698121882003,78.60892741078135,125.94884035385219
412,48.2085000024055,78.6676550955265,126.19645723284646
413,48.284582171272724,78.74098941597387,126.46861418094927
414,48.34080155701834,78.78064650959324,126.65631467365543
415,48.495570091476786,78.84702698642309,126.89455346300633
416,48.58547987029807,78.90555692248498,127.18201799632057
417,48.67255066236144,78.92837617873514,127.46687474951746
418,48.8111460961065,79.02496769101003,127.60199324652883
419,48.86646510623966,79.04546960125211,127.91295323283173
420,48.97167669753149,79.13112877670116,128.13524656645183
421,48.99688919966715,79.18644511721158,128.31230949012001
422,49.074649853617856,79.25817959299658,128.6465447794076
423,49.15864535750091,79.33982394548313,128.93667942918944
424,49.228776181755684,79.4903482670421,129.20838225677417
425,49.283477658620555,79.5271922176271,129.4841762068789
426,49.359192215718345,79.60198404940469,129.7423740833819
427,49.5149996019572,79.68373814246121,130.0176661580785
428,49.57523364494628,79.82483697464957,130.213861619211
429,49.61798582904687,79.86249693484913,130.45335992502459
430,49.723972250846245,79.91436721671485,130.72109043413175
431,49.749184752981904,80.12640127423471,130.91825715721967
432,49.81407694343973,80.14960929746601,131.18534403769786
433,49.839289445575396,80.19825043150608,131.4556666463763
434,49.90899964824705,80.19881190802664,131.72885391942043
435,49.93421215038271,80.20714409149744,132.0506601709816
436,49.98994810918534,80.32309062411285,132.26502322323753
437,50.10991241017126,80.3506365561519,132.49177139248235
438,50.208009051541055,80.47460547901349,132.78424432476953
439,50.233221553676714,80.50546505991709,132.92599364721275
440,50.25843405581237,80.59239398098188,133.2223890753375
441,50.28364655794804,80.63662912383722,133.47923022164855
442,50.41109801384466,80.69156761552962,133.79219936751028
443,50.43631051598032,80.69212909205018,134.0035119740571
444,50.46152301811598,80.73196039815033,134.248076493067
445,50.53566609891534,80.73252187467088,134.54115242509152
446,50.63515835048527,80.83586571550849,134.7276301362321
447,50.66037085262093,80.84309100359292,135.07976754807424
448,50.68558335475659,80.88573848675756,135.45534084450512
449,50.811572598744675,80.90806993239704,135.7380281679394
450,50.91610153232363,81.00080549293665,135.91204824626323
451,50.95886147275358,81.02677085945442,136.19811764044758
452,50.98407397488925,81.06679672644773,136.32583818290158
453,51.00928647702491,81.08412463095712,136.5335410886811
454,51.084531467515845,81.12547642015237,136.8051311749315
455,51.10974396965151,81.29645768970761,137.17043588108817
456,51.13495647178717,81.3051902476099,137.3657290192892
457,51.186192354035924,81.42081677987787,137.67432665924292
458,51.21140485617159,81.48795984345568,138.04772272661415
459,51.2962358820302,81.51276213163993,138.3006296403673
460,51.34844587048734,81.56272201226915,138.4824922571082
461,51.402989559698575,81.67004431338603,138.71353476070766
462,51.428202061834234,81.72702742083501,138.99014975002274
463,51.53731548198276,81.75975831452236,139.1912427446821
464,51.562527984118425,81.8263447004008,139.52494195667038
465,51.587740486254084,81.93013584995687,139.75195751636429
